Cruise,Bottle Number,Sample Type,Depth [m],Sample Volume [m^3],Sample Time,Filter Diameter [mm],Filter Pore Size [um],Parameter Name,Parameter Value,Parameter Units,Laboratory,Researcher,Analysis Method,Comment Name,Comment Value
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SPI1181_spionidae_A650,0.045,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,B1006_barnacles_A450,0.117,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,M2B_mussels_A450,0.102,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,GCRAB_Carcinus_A450,0.071,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL903_calanoida_A450,0.196,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CAL1939_calanoida_A450,2.236,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,POD1951_podoplea_A450,0.117,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SAB1182_sabellariidae_A450,0.786,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,CRAB903_brachyura_A450,0.080,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,OS1022_polychaeta_A450,0.431,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c05,NetTow,vertical net tow,30,9.12,NaN,,200 µm,SPI1181_spionidae_A450,0.058,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A650,0.066,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A650,0.037,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A650,0.031,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A650,0.042,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A650,4.000,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A650,0.062,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A650,0.151,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A650,0.091,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,B1006_barnacles_A450,0.148,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,M2B_mussels_A450,0.088,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,GCRAB_Carcinus_A450,0.080,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL903_calanoida_A450,0.111,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,POD1951_podoplea_A450,0.159,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SAB1182_sabellariidae_A450,0.298,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,CRAB903_brachyura_A450,0.073,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,OS1022_polychaeta_A450,0.168,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c06,NetTow,vertical net tow,30,12.96,NaN,,200 µm,SPI1181_spionidae_A450,0.068,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A650,0.102,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A650,0.046,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A650,0.045,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A650,0.056,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A650,4.000,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A650,0.062,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A650,0.519,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A650,0.040,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A650,0.061,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A650,0.038,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,B1006_barnacles_A450,0.184,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,M2B_mussels_A450,0.066,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,GCRAB_Carcinus_A450,0.066,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL903_calanoida_A450,0.095,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CAL1939_calanoida_A450,4.000,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,POD1951_podoplea_A450,0.112,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SAB1182_sabellariidae_A450,1.108,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,CRAB903_brachyura_A450,0.084,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,OS1022_polychaeta_A450,0.147,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c07,NetTow,vertical net tow,15,6.64,NaN,,200 µm,SPI1181_spionidae_A450,0.103,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,B1006_barnacles_A650,0.070,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,M2B_mussels_A650,0.053,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,GCRAB_Carcinus_A650,0.044,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CAL903_calanoida_A650,0.051,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CAL1939_calanoida_A650,2.582,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,POD1951_podoplea_A650,0.076,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,SAB1182_sabellariidae_A650,0.228,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,CRAB903_brachyura_A650,0.043,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,OS1022_polychaeta_A650,0.070,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,SPI1181_spionidae_A650,0.036,OD A650 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,B1006_barnacles_A450,0.114,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
simz2013c08,NetTow,vertical net tow,15,9.12,NaN,,200 µm,M2B_mussels_A450,0.076,OD A450 nm,Vrijenhoek,Harvey,Sandwich Hybridization Assay,,
